cohort,cohort_size,retention1,retention2,retention3,retention4,retention5,retention6,retention7,retention8,retention9,retention10,retention11,retention12,retention13,retention14,retention15,retention16,retention17,retention18,retention19,retention20,retention21,retention22,retention23,retention24,retention25,retention26,retention27,retention28,retention29,retention30,retention31,retention32,retention33,retention34,retention35,retention36,retention37,retention38,retention39,retention40,retention41,retention42,retention43,retention44,retention45,retention46,retention47,retention48,retention49,retention50,retention51,retention52,retention53,retention54
2016-05-01T00:00:00,12,1.0,0.916666666666667,0.833333333333333,0.833333333333333,0.75,0.75,0.75,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.583333333333333,0.583333333333333,0.583333333333333,0.583333333333333,0.583333333333333,0.583333333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667
2017-11-01T00:00:00,294,0.928571428571429,0.857142857142857,0.846938775510204,0.82312925170068,0.792517006802721,0.775510204081633,0.758503401360544,0.738095238095238,0.710884353741497,0.69047619047619,0.67687074829932,0.659863945578231,0.646258503401361,0.639455782312925,0.629251700680272,0.58843537414966,0.571428571428571,0.554421768707483,0.54421768707483,0.527210884353742,0.506802721088435,0.486394557823129,0.462585034013605,0.445578231292517,0.435374149659864,0.425170068027211,0.401360544217687,0.384353741496599,0.370748299319728,0.360544217687075,0.353741496598639,0.350340136054422,0.319727891156463,0.30952380952381,0.289115646258503,0.272108843537415,0.258503401360544,0.238095238095238,0.231292517006803,0.227891156462585,0.22108843537415,0.207482993197279,0.197278911564626,0.183673469387755,0.166666666666667,0.146258503401361,0.13265306122449,0.119047619047619,0.115646258503401,0.105442176870748,0.0986394557823129,0.0884353741496599,0.0850340136054422,0.0748299319727891
2018-06-01T00:00:00,251,0.689243027888446,0.438247011952191,0.266932270916335,0.163346613545817,0.0796812749003984,0.047808764940239,0.0239043824701195,0.0119521912350598,0.00796812749003984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-01T00:00:00,114,0.850877192982456,0.824561403508772,0.807017543859649,0.771929824561403,0.745614035087719,0.728070175438597,0.710526315789474,0.692982456140351,0.649122807017544,0.649122807017544,0.649122807017544,0.649122807017544,0.631578947368421,0.614035087719298,0.578947368421053,0.552631578947368,0.543859649122807,0.535087719298246,0.517543859649123,0.508771929824561,0.508771929824561,0.491228070175439,0.464912280701754,0.464912280701754,0.464912280701754,0.456140350877193,0.456140350877193,0.456140350877193,0.447368421052632,0.429824561403509,0.421052631578947,0.421052631578947,0.421052631578947,0.421052631578947,0.421052631578947,0.394736842105263,0.385964912280702,0.385964912280702,0.385964912280702,0.368421052631579,0.359649122807018,0.333333333333333,0.333333333333333,0.324561403508772,0.324561403508772,0.307017543859649,0.289473684210526,0.263157894736842,0.254385964912281,0.245614035087719,0.245614035087719,0.236842105263158,0.236842105263158,0.228070175438596
2016-06-01T00:00:00,11,0.909090909090909,0.909090909090909,0.818181818181818,0.818181818181818,0.727272727272727,0.727272727272727,0.727272727272727,0.727272727272727,0.727272727272727,0.727272727272727,0.727272727272727,0.636363636363636,0.636363636363636,0.545454545454545,0.545454545454545,0.545454545454545,0.454545454545455,0.454545454545455,0.454545454545455,0.454545454545455,0.454545454545455,0.454545454545455,0.454545454545455,0.454545454545455,0.454545454545455,0.454545454545455,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.272727272727273,0.272727272727273,0.181818181818182,0.181818181818182,0.181818181818182,0.181818181818182,0.181818181818182,0.181818181818182,0.181818181818182,0.181818181818182,0.181818181818182,0.181818181818182,0.181818181818182,0.181818181818182,0.181818181818182,0.181818181818182,0.181818181818182,0.181818181818182,0.181818181818182,0.181818181818182,0.181818181818182,0.0909090909090909,0.0909090909090909
2017-04-01T00:00:00,108,0.953703703703704,0.898148148148148,0.851851851851852,0.796296296296296,0.768518518518518,0.712962962962963,0.694444444444444,0.666666666666667,0.657407407407407,0.611111111111111,0.583333333333333,0.583333333333333,0.583333333333333,0.546296296296296,0.546296296296296,0.518518518518518,0.518518518518518,0.518518518518518,0.5,0.490740740740741,0.490740740740741,0.472222222222222,0.472222222222222,0.472222222222222,0.472222222222222,0.462962962962963,0.453703703703704,0.444444444444444,0.435185185185185,0.435185185185185,0.435185185185185,0.435185185185185,0.416666666666667,0.407407407407407,0.407407407407407,0.388888888888889,0.37962962962963,0.37037037037037,0.37037037037037,0.37037037037037,0.361111111111111,0.361111111111111,0.361111111111111,0.342592592592593,0.333333333333333,0.333333333333333,0.333333333333333,0.324074074074074,0.314814814814815,0.296296296296296,0.268518518518519,0.240740740740741,0.240740740740741,0.240740740740741
2016-04-01T00:00:00,20,0.95,0.95,0.85,0.85,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018-04-01T00:00:00,722,0.93213296398892,0.89196675900277,0.861495844875346,0.826869806094183,0.796398891966759,0.754847645429363,0.714681440443213,0.653739612188366,0.606648199445983,0.570637119113573,0.523545706371191,0.452908587257618,0.416897506925208,0.365650969529086,0.313019390581717,0.263157894736842,0.217451523545706,0.166204986149584,0.131578947368421,0.0969529085872576,0.0761772853185596,0.0637119113573407,0.0609418282548476,0.054016620498615,0.038781163434903,0.0290858725761773,0.0221606648199446,0.0138504155124654,0.0124653739612188,0.00692520775623269,0.00692520775623269,0.00692520775623269,0.00692520775623269,0.00692520775623269,0.00554016620498615,0.00415512465373961,0.00415512465373961,0.00277008310249307,0.00277008310249307,0.00277008310249307,0.00138504155124654,0.00138504155124654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-01T00:00:00,32,1.0,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.90625,0.875,0.875,0.875,0.875,0.875,0.875,0.84375,0.84375,0.84375,0.84375,0.84375,0.8125,0.75,0.75,0.71875,0.6875,0.6875,0.6875,0.65625,0.65625,0.65625,0.65625,0.65625,0.625,0.59375,0.59375,0.59375,0.59375,0.5625,0.53125,0.53125,0.5,0.5,0.46875,0.46875,0.46875,0.46875,0.46875,0.46875,0.46875,0.46875,0.46875,0.46875,0.4375,0.4375,0.4375
2017-08-01T00:00:00,135,0.911111111111111,0.866666666666667,0.851851851851852,0.8,0.792592592592593,0.77037037037037,0.762962962962963,0.718518518518519,0.688888888888889,0.688888888888889,0.681481481481481,0.674074074074074,0.651851851851852,0.637037037037037,0.592592592592593,0.592592592592593,0.585185185185185,0.562962962962963,0.533333333333333,0.518518518518518,0.511111111111111,0.511111111111111,0.488888888888889,0.481481481481481,0.459259259259259,0.459259259259259,0.42962962962963,0.422222222222222,0.414814814814815,0.407407407407407,0.4,0.362962962962963,0.355555555555556,0.355555555555556,0.333333333333333,0.325925925925926,0.325925925925926,0.311111111111111,0.303703703703704,0.296296296296296,0.288888888888889,0.288888888888889,0.288888888888889,0.281481481481481,0.266666666666667,0.266666666666667,0.266666666666667,0.251851851851852,0.237037037037037,0.22962962962963,0.222222222222222,0.207407407407407,0.192592592592593,0.185185185185185
